"X","datetimestamp","language","doc_id","negative","positive","neg_positive","neg_negative","hub_id","event_date","event_title","speaker_type","speaker_party","speaker_gender","intervention_id","speaker_country","speaker_polgroup","intervention_lang","speaker_full_name","intervention_header","intervention_seq_num","intervention_header_en","subject_of_business_id","subject_of_business_title","tone","paragraph","paragraphLower","iaRestreint","Perception.IA","Mention.Régulation.IA","Perception.regulation","Mention.éthique.IA","term","intervention_text_cleaned","is_mep","ai_topic_category_num","ai_topic_category","speaker_polgroup_normalized","manual_intercoder_reconciled_category","speaker_polgroup_clean","weighted_position","total_meps","n_parties","n_countries","political_orientation","rank_left_right","perception_ordered","year","post_chatgpt_factor","country_ai_attitude","gender_clean","topic_digital_economy","topic_education","topic_social_impacts"
16,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN372",12,15,0,0,181982,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP","Partito Democratico","female","820170215EN372","Italy","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","it","Chinnici, Caterina","Caterina Chinnici (S&D)",372,"Caterina Chinnici (S&D)",14,"Civil Law Rules on Robotics (debate)",3,"madam president, ladies and gentlemen, the development of robotics and artificial intelligence will certainly contribute in the near future to a considerable improvement in our quality of life in various sectors such as medical care, transport and industrial production","madam president, ladies and gentlemen, the development of robotics and artificial intelligence will certainly contribute in the near future to a considerable improvement in our quality of life in various sectors such as medical care, transport and industrial production",TRUE,"Optimist","No",NA,"No",8,NA,TRUE,1,"Digital Economy and Innovation Policy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Digital Transformation in Public Services, Security, and Infrastructure","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Optimist",2017,"Pre-ChatGPT","Other EU Countries","female",0,0,0
18,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN381",5,11,0,0,181991,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP","Alternativa Galega De Esquerda En Europa","female","820170215EN381","Spain","The Left Group In The European Parliament - GUE/NGL","pt","Lidia Senra Rodriguez, Maria","Maria Lidia Senra Rodríguez (GUE/NGL), por escrito",381,"Maria Lidia Senra Rodríguez (GUE/NGL), in writing",14,"Civil Law Rules on Robotics (debate)",6,"this report presents the issue of robotics as something unlimited and independent of our will and that we can only do nothing but regulate. ; well, but artificial intelligence is created by human capacity and, therefore, as all technology will not be neutral, it will be at the service of the ruling classes. , because after all, technology must be an instrument to seek well-being and facilitate activities for people, but never to replace them and, certainly, we cannot allow advances in robotics to be used so that a few manage to dominate the world with this process of concentration of wealth through the plundering of natural resources and the dispossession of the popular classes it cannot be used to destroy and make jobs precarious; to continue with the wars; or to dehumanize medicine or assistance and care for the elderly, for example i agree, we need to regulate, set limits to protect society","this report presents the issue of robotics as something unlimited and independent of our will and that we can only do nothing but regulate. ; well, but artificial intelligence is created by human capacity and, therefore, as all technology will not be neutral, it will be at the service of the ruling classes. , because after all, technology must be an instrument to seek well-being and facilitate activities for people, but never to replace them and, certainly, we cannot allow advances in robotics to be used so that a few manage to dominate the world with this process of concentration of wealth through the plundering of natural resources and the dispossession of the popular classes it cannot be used to destroy and make jobs precarious; to continue with the wars; or to dehumanize medicine or assistance and care for the elderly, for example i agree, we need to regulate, set limits to protect society",TRUE,"Optimist","Yes","In favor","No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","The Left Group in the European Parliament - GUE/NGL","Social Impacts and Inclusion in the Digital Transformation","The Left Group in the European Parliament - GUE/NGL",1.95240070210526,76,22,14,"Far-left",1,"Optimist",2017,"Pre-ChatGPT","Other EU Countries","female",0,0,1
19,"2023-10-13T00:30:54Z","en","2017-02-16-820170216EN129",8,13,0,0,182227,"2017-02-16","Thursday, 16 February 2017 - Strasbourg","MEP","Obyčajní Ľudia","male","820170216EN129","Slovakia","European Conservatives And Reformists Group","sk","Škripek, Branislav","Branislav Škripek (ECR)",129,"Branislav Škripek (ECR)",8,"3. Civil Law Rules on Robotics (A8-0005/2017 - Mady Delvaux)",5,"mr. president, surely no one doubts that we are witnessing a new industrial revolution. every day we read about great advances in robotics, which can make us feel as if we are already living in the age of science fiction films. such advances bring incredible opportunities for humanity to improve of life maybe sometimes only so apparent on the other hand, this area raises and opens up a large number of questions and risks machines are already replacing people in the work process in many cases in reality, no one knows what a fully robotized labor market will look like in practice according to the oecd, the slovak republic in this regard, the second most endangered economy from the point of view of increasing unemployment. it is also dangerous for transhumanism to become law. human rights belong supremely to man. attributing them to artificial intelligence is completely against the natural order of creation. i fear the consequences of such an action. the resolution does not bring answers, but only brings more confusion it is necessary é that all multinational companies and scientists behind robotization take responsibility for this development, and it is essential to guarantee that it must be a human decision","mr. president, surely no one doubts that we are witnessing a new industrial revolution. every day we read about great advances in robotics, which can make us feel as if we are already living in the age of science fiction films. such advances bring incredible opportunities for humanity to improve of life maybe sometimes only so apparent on the other hand, this area raises and opens up a large number of questions and risks machines are already replacing people in the work process in many cases in reality, no one knows what a fully robotized labor market will look like in practice according to the oecd, the slovak republic in this regard, the second most endangered economy from the point of view of increasing unemployment. it is also dangerous for transhumanism to become law. human rights belong supremely to man. attributing them to artificial intelligence is completely against the natural order of creation. i fear the consequences of such an action. the resolution does not bring answers, but only brings more confusion it is necessary é that all multinational companies and scientists behind robotization take responsibility for this development, and it is essential to guarantee that it must be a human decision",TRUE,"Pessimist","No",NA,"No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","European Conservatives and Reformists Group","Social Impacts and Inclusion in the Digital Transformation","European Conservatives and Reformists Group",7.7692262698086,172,30,19,"Far-right",10,"Pessimist",2017,"Pre-ChatGPT","Other EU Countries","male",0,0,1
20,"2023-10-13T00:30:54Z","en","2017-03-02-820170302EN8",8,32,1,1,182596,"2017-03-02","Thursday, 2 March 2017 - Brussels","MEP On Behalf Of The Alde Group","Eesti Reformierakond","female","820170302EN8","Estonia","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","en","Kallas, Kaja","Kaja Kallas, on behalf of the ALDE Group",8,"Kaja Kallas, on behalf of the ALDE Group",2,"Implementation of the Creative Europe programme (debate)",24,"mr president, there was a sentence in an article in the guardian about the age of robots which said: ‘if you want a job, you must be as unlike a machine as possible: creative, critical and socially skilled’ creativity in the age of the internet is everywhere people write stories on their blog, they upload songs, they create short videos, and with innovation in robotics and artificial intelligence we will need more and more creative people","mr president, there was a sentence in an article in the guardian about the age of robots which said: ‘if you want a job, you must be as unlike a machine as possible: creative, critical and socially skilled’ creativity in the age of the internet is everywhere people write stories on their blog, they upload songs, they create short videos, and with innovation in robotics and artificial intelligence we will need more and more creative people",TRUE,"Pessimist","No",NA,"No",8,NA,TRUE,5,"Education, Skills Development, and Workforce Transformation","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Education, Skills Development, and Workforce Transformation","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Pessimist",2017,"Pre-ChatGPT","Other EU Countries","female",0,1,0
24,"2023-10-13T00:30:54Z","en","2017-04-05-820170405EN190",22,16,0,0,184423,"2017-04-05","Wednesday, 5 April 2017 - Strasbourg","MEP","Partido Popular","male","820170405EN190","Spain","Group Of The European People's Party (Christian Democrats)","es","Luis Valcárcel Siso, Ramón","Ramón Luis Valcárcel Siso (PPE)",190,"Ramon Luis Valcarcel Siso (PPE)",13,"Hate speech, populism, and fake news on social media – towards an EU response (debate)",-6,"at the same time, it is necessary to identify and fight against the techniques that are serving populism to go against the european union, especially through social networks. and in this area, it is urgent that digital platforms assume responsibilities. we must ensure that they do not contribute to spreading hate messages and fake news. they have to cut the channels that facilitate their disclosure and they must be more transparent, because citizens deserve to know how the information they receive is decided. fighting the tyranny of the algorithm is an ethical issue.","at the same time, it is necessary to identify and fight against the techniques that are serving populism to go against the european union, especially through social networks. and in this area, it is urgent that digital platforms assume responsibilities. we must ensure that they do not contribute to spreading hate messages and fake news. they have to cut the channels that facilitate their disclosure and they must be more transparent, because citizens deserve to know how the information they receive is decided. fighting the tyranny of the algorithm is an ethical issue.",TRUE,"Pessimist","No","In favor","Yes",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)","Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)",6.65767785991233,534,66,27,"Right",9,"Pessimist",2017,"Pre-ChatGPT","Other EU Countries","male",0,0,0
28,"2023-10-13T00:30:54Z","en","2017-05-31-820170531EN290",9,8,0,0,186904,"2017-05-31","Wednesday, 31 May 2017 - Brussels","MEP","Partito Democratico","male","820170531EN290","Italy","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","it","Caputo, Nicola","Nicola Caputo (S&D)",290,"Nicola Caputo (S&D)",20,"Digitising European industry - Internet connectivity for growth, competitiveness and cohesion: European gigabit society and 5G (debate)",-1,"mr president, ladies and gentlemen, industry plays a key role in europe's economy, new technologies such as big data and artificial intelligence are emerging, with new challenges and an ever-changing reality, but new technologies first of all raise ethical questions; when the data are incommensurable and concern not natural reality, but social, historical, linguistic, the classification criteria are affected by the object to be classified and tend to be confused with the social facts themselves","mr president, ladies and gentlemen, industry plays a key role in europe's economy, new technologies such as big data and artificial intelligence are emerging, with new challenges and an ever-changing reality, but new technologies first of all raise ethical questions; when the data are incommensurable and concern not natural reality, but social, historical, linguistic, the classification criteria are affected by the object to be classified and tend to be confused with the social facts themselves",TRUE,"Pessimist","No",NA,"Yes",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Pessimist",2017,"Pre-ChatGPT","Other EU Countries","male",0,0,0
29,"2023-10-13T00:30:54Z","en","2017-05-31-820170531EN305",2,15,0,0,186919,"2017-05-31","Wednesday, 31 May 2017 - Brussels","MEP","Hrvatska Demokratska Zajednica","female","820170531EN305","Croatia","Group Of The European People's Party (Christian Democrats)","hr","Maletic, Ivana","Ivana Maletić (PPE), napisan",305,"Ivana Maletić (PPE), napisan",20,"Digitising European industry - Internet connectivity for growth, competitiveness and cohesion: European gigabit society and 5G (debate)",13,"in today's time of global competition in the application of new technological achievements such as 5g network, cloud computing, artificial intelligence and robotics, the question we ask is how to integrate them into business models, value chains, production and consumption in the most sustainable and socially acceptable way possible? the eu must seek the answer to this in sustainable innovations and adaptation of the education system in order to maintain competitiveness and become the leader of the new industrial revolution. in this area, the eu's advantages are specific knowledge, connected and targeted investments in research and development, a large single market, a strong industrial base and experience in connecting production and services","in today's time of global competition in the application of new technological achievements such as 5g network, cloud computing, artificial intelligence and robotics, the question we ask is how to integrate them into business models, value chains, production and consumption in the most sustainable and socially acceptable way possible? the eu must seek the answer to this in sustainable innovations and adaptation of the education system in order to maintain competitiveness and become the leader of the new industrial revolution. in this area, the eu's advantages are specific knowledge, connected and targeted investments in research and development, a large single market, a strong industrial base and experience in connecting production and services",TRUE,"Optimist","No",NA,"No",8,NA,TRUE,1,"Digital Economy and Innovation Policy","Group of the European People's Party (Christian Democrats)","Digital Economy and Innovation Policy","Group of the European People's Party (Christian Democrats)",6.65767785991233,534,66,27,"Right",9,"Optimist",2017,"Pre-ChatGPT","AI-Optimistic Countries","female",1,0,0
30,"2023-10-13T00:30:54Z","en","2017-09-13-820170913EN5",22,46,0,0,190342,"2017-09-13","Wednesday, 13 September 2017 - Strasbourg","MEP On Behalf Of The S&D Group","Partito Democratico","male","820170913EN5","Italy","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","it","Pittella, Gianni","Gianni Pittella, a nome del gruppo S&D",5,"Gianni Pittella, on behalf of the S&D group",7,"State of the Union (debate)",24,"we have a blank page that we can write together. you mentioned innovation, great progress, artificial intelligence. we often discuss the sex of angels here and we don't realize that the world goes on, that soon we will have an artificial intelligence that will decide on our own whether to wage war or not, whether to make nuclear power or not. we must keep up with these great transformations. we have an example, an important reference: the 2030 agenda for sustainable development. let us take that example and work with that love which is in your heart but which is also in our socialist heart. let's work together, with tenacity and with loyalty!.","we have a blank page that we can write together. you mentioned innovation, great progress, artificial intelligence. we often discuss the sex of angels here and we don't realize that the world goes on, that soon we will have an artificial intelligence that will decide on our own whether to wage war or not, whether to make nuclear power or not. we must keep up with these great transformations. we have an example, an important reference: the 2030 agenda for sustainable development. let us take that example and work with that love which is in your heart but which is also in our socialist heart. let's work together, with tenacity and with loyalty!.",TRUE,"Optimist","No",NA,"No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Social Impacts and Inclusion in the Digital Transformation","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Optimist",2017,"Pre-ChatGPT","Other EU Countries","male",0,0,1
31,"2023-10-13T00:30:54Z","en","2017-10-04-820171004EN345",12,20,0,0,191904,"2017-10-04","Wednesday, 4 October 2017 - Strasbourg","MEP","Krestanskodemokratické Hnutie","female","820171004EN345","Slovakia","European Conservatives And Reformists Group","sk","Záborská, Anna","Anna Záborská (PPE)",345,"Anna Záborská (PPE)",20,"Security on Europe's roads (debate)",8,"dear mr. chairman, the threat to the safety of freight transit transport has several levels, between which we must distinguish. first of all, it must be said that the exercise of supervision over road traffic safety and the solution of traffic violations, as well as the prevention and prosecution of criminal acts that endanger property, health and life, are exclusively the competence of the member states of the union but the area of ​​transport and trans-european networks itself belongs to a group of shared competences we have common rules for the safe transport of passengers and goods road corridors are co-financed from the european budget transit transport simply has a european dimension and the commission should deal with problems that threaten its smoothness and safety adopting effective measures to increase the safety of trucks is also very important from the point of view of the near future autonomous trucks are already being tested in several member states, which should start driving on european roads in a few years. but while artificial intelligence can that significantly reduce the number of accidents and increase the flow of road traffic, it is much more vulnerable to unexpected attacks","dear mr. chairman, the threat to the safety of freight transit transport has several levels, between which we must distinguish. first of all, it must be said that the exercise of supervision over road traffic safety and the solution of traffic violations, as well as the prevention and prosecution of criminal acts that endanger property, health and life, are exclusively the competence of the member states of the union but the area of ​​transport and trans-european networks itself belongs to a group of shared competences we have common rules for the safe transport of passengers and goods road corridors are co-financed from the european budget transit transport simply has a european dimension and the commission should deal with problems that threaten its smoothness and safety adopting effective measures to increase the safety of trucks is also very important from the point of view of the near future autonomous trucks are already being tested in several member states, which should start driving on european roads in a few years. but while artificial intelligence can that significantly reduce the number of accidents and increase the flow of road traffic, it is much more vulnerable to unexpected attacks",TRUE,"Mixed","No",NA,"No",8,NA,TRUE,4,"Digital Transformation in Public Services, Security, and Infrastructure","European Conservatives and Reformists Group","Digital Transformation in Public Services, Security, and Infrastructure","European Conservatives and Reformists Group",7.7692262698086,172,30,19,"Far-right",10,"Mixed",2017,"Pre-ChatGPT","Other EU Countries","female",0,0,0
35,"2023-10-13T00:30:55Z","en","2018-04-18-820180418EN155",3,6,0,0,202179,"2018-04-18","Wednesday, 18 April 2018 - Strasbourg","MEP","Bloco De Esquerda","female","820180418EN155","Portugal","The Left Group In The European Parliament - GUE/NGL","pt","Matias, Marisa","Marisa Matias (GUE/NGL)",155,"Marisa Matias (GUE/NGL)",19,"Cambridge Analytica and Facebook: Data protection and citizen's privacy as a line of defence against election manipulation (debate)",3,"yes. algorithms and machine learning software are now a political weapon. the internet is full of algorithms that analyze and predict our behavior through obscure software. we are not just talking about spying on or stealing our data, we are talking about software that, through our data, determines which articles we have access to, who we keep in touch with, who can keep in touch with us. in short, it has a name and that name is manipulation.","yes. algorithms and machine learning software are now a political weapon. the internet is full of algorithms that analyze and predict our behavior through obscure software. we are not just talking about spying on or stealing our data, we are talking about software that, through our data, determines which articles we have access to, who we keep in touch with, who can keep in touch with us. in short, it has a name and that name is manipulation.",TRUE,"Pessimist","No",NA,"No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","The Left Group in the European Parliament - GUE/NGL","Social Impacts and Inclusion in the Digital Transformation","The Left Group in the European Parliament - GUE/NGL",1.95240070210526,76,22,14,"Far-left",1,"Pessimist",2018,"Pre-ChatGPT","AI-Optimistic Countries","female",0,0,1
39,"2023-10-13T00:30:55Z","en","2018-07-04-820180704EN202",13,9,1,0,205481,"2018-07-04","Wednesday, 4 July 2018 - Strasbourg","MEP On Behalf Of The Verts/Ale Group","Bündnis 90/Die Grünen","male","820180704EN202","Germany","Group Of The Greens/European Free Alliance","de","Franz, Romeo","Romeo Franz, im Namen der Verts/ALE-Fraktion",202,"Romeo Franz, on behalf of the Verts/ALE Group",18,"European Travel Information and Authorisation System (ETIAS) - European Travel Information and Authorisation System (ETIAS): Europol tasks (debate)",-4,"etias is dangerous: in many cases, the decision as to whether someone poses a risk is left to an algorithm that works in a completely unclear way and is not specified in more detail. this is automatic discrimination and contradicts our report on big data and fundamental rights, which this house passed by a large majority a year ago.","etias is dangerous: in many cases, the decision as to whether someone poses a risk is left to an algorithm that works in a completely unclear way and is not specified in more detail. this is automatic discrimination and contradicts our report on big data and fundamental rights, which this house passed by a large majority a year ago.",TRUE,"Pessimist","No",NA,"No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Greens/European Free Alliance","Ethical, Regulatory, and Governance Frameworks for AI","Group of the Greens/European Free Alliance",3.09164151450733,146,42,19,"Left",3,"Pessimist",2018,"Pre-ChatGPT","Other EU Countries","male",0,0,0
41,"2023-10-13T00:30:55Z","en","2018-09-11-820180911EN194",14,20,0,0,206169,"2018-09-11","Tuesday, 11 September 2018 - Strasbourg","MEP On Behalf Of The Efdd Group","Forza Italia","female","820180911EN194","Italy","Group Of The European People's Party (Christian Democrats)","it","Adinolfi, Isabella","Isabella Adinolfi, a nome del gruppo EFDD",194,"Isabella Adinolfi, on behalf of the EFDD Group",12,"Copyright in the Digital Single Market (debate)",6,"the internet is a medium that has revolutionized our lives and also that of artists and creatives, effectively offering them a global stage. and what happened instead? that the rights of authors and creators are used instrumentally to justify maintaining profitable positions on the market. the problem of remuneration for creative content that is posted on the net exists and is serious, but it is not with an automated control by an algorithm that we can solve the problem.","the internet is a medium that has revolutionized our lives and also that of artists and creatives, effectively offering them a global stage. and what happened instead? that the rights of authors and creators are used instrumentally to justify maintaining profitable positions on the market. the problem of remuneration for creative content that is posted on the net exists and is serious, but it is not with an automated control by an algorithm that we can solve the problem.",TRUE,"Pessimist","No",NA,"No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)","Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)",6.65767785991233,534,66,27,"Right",9,"Pessimist",2018,"Pre-ChatGPT","Other EU Countries","female",0,0,0
